nct_id,brief_title,condition,phase,overall_status,start_date,primary_completion_date,completion_date,enrollment_count,enrollment_type,why_stopped,sponsor_name,location_countries
NCT00653185,Efficacy of SYR-472 in Subjects With Type 2 Diabetes Mellitus,Diabetes Mellitus,PHASE2,COMPLETED,2007-05,2008-03,2008-03,369.0,ACTUAL,,Takeda,Chile; Czechia; Guatemala; Hungary; Latvia; Lithuania; Puerto Rico; Romania; Russia; Slovakia; Ukraine; United States
NCT01415115,Using SCOUT Noninvasive AGE Measurements to Forecast Diabetes Complications,Type 1 Diabetes; Type 2 Diabetes,,COMPLETED,2007-03,2011-08,2011-08,250.0,ACTUAL,,"VeraLight, Inc.",United States
NCT07630025,Concurrent Exercise Training,Typ 2 Diabetes,NA,NOT_YET_RECRUITING,2026-06,2026-09,2026-10,60.0,ESTIMATED,,Prince Sattam Bin Abdulaziz University,
NCT01106625,The CANTATA-MSU Trial (CANagliflozin Treatment And Trial Analysis - Metformin and SUlphonylurea),"Diabetes Mellitus, Type 2",PHASE3,COMPLETED,2010-05,2011-09,2012-04,469.0,ACTUAL,,"Janssen Research & Development, LLC",Australia; Belgium; France; Guatemala; Hungary; Israel; Mexico; Puerto Rico; Russia; Spain; United Kingdom; United States
NCT00252876,GALLEX 1 - Long Term Extension Study in Patients With Type 2 Diabetes,Type 2 Diabetes,PHASE3,TERMINATED,2005-03,,2007-01,2000.0,,The development program has been terminated,AstraZeneca,Argentina; Australia; Brazil; Canada; Czechia; Estonia; Finland; Greece; Hong Kong; Hungary; India; Indonesia; Israel; Italy; Latvia; Lithuania; Malaysia; Netherlands; Philippines; Poland; Portugal; Russia; Serbia and Montenegro; Singapore; Slovakia; South Africa; South Korea; Switzerland; United Kingdom; United States; Vietnam
NCT05630417,Investigation of the Effect of Geriatric Massage,Nursing Caries,NA,COMPLETED,2022-03-15,2023-08-30,2023-10-30,60.0,ACTUAL,,Bayburt University,Turkey (Türkiye)
NCT07716059,Legume Flour Particle Size and Metabolic Responses to Bread,Type 2 Diabetes,NA,RECRUITING,2025-09-29,2026-09-30,2026-11-30,35.0,ESTIMATED,,Harokopio University,Greece
NCT05015946,Handball-based Exercise and Type 2 Diabetes,Type 2 Diabetes,NA,COMPLETED,2021-09-01,2021-12-15,2021-12-20,10.0,ACTUAL,,University College of Northern Denmark,Denmark
NCT01901861,Effect of the DPP-4 Inhibitor Sitagliptin on Islet Function After Mixed Meal in Patients With Type 2 Diabetes,Type 2 Diabetes,NA,COMPLETED,2013-07,2015-12,2015-12,12.0,ACTUAL,,Lund University,Sweden
NCT00970593,"Study Evaluating Safety, Tolerability, And Action Of OAP-189 In Subjects With Type 2 Diabetes On Metformin",Diabetes Mellitus,PHASE1,COMPLETED,2009-09-02,2011-07-25,2011-07-25,92.0,ACTUAL,,Pfizer,United States
NCT04569721,Percutaneous CT-guided Cryoablation of the Splanchnic Nerves,Type 2 Diabetes,NA,WITHDRAWN,2021-02-19,2022-02,2022-02,0.0,ACTUAL,There was only one subject consented and it was a screen failure. No participants enrolled and study is being closed due to lack of enrollment.,Emory University,United States
NCT00602914,"A Pilot Study to Assess the Safety, PK and PD of Insulin Injected Via MicronJet or Conventional Needle",Intradermal Injections,EARLY_PHASE1,COMPLETED,2008-03,2008-12,2009-07,23.0,ACTUAL,,NanoPass Technologies Ltd,
NCT01159938,A Study of Postprandial Hyperglycemia in Participants With Type 2 Diabetes,"Diabetes Mellitus, Type 2",PHASE4,COMPLETED,2010-10,2013-02,2013-02,72.0,ACTUAL,,Eli Lilly and Company,Finland
NCT04952948,Pilates Method on Functional Capacity and Blood Pressure of Elderly Women With Type 2 Diabetes,Type-2 Diabetes; Physical Disability; Blood Pressure,NA,COMPLETED,2016-08-23,2016-11-28,2016-12-19,22.0,ACTUAL,,Universidade Federal do vale do São Francisco,
NCT00290940,"Evaluation of Glucose Lowering Effect, Safety and Tolerability of CS-917","Diabetes Mellitus, Type 2",PHASE2,COMPLETED,2006-01,,2007-04,400.0,ESTIMATED,,Daiichi Sankyo,United States
NCT04023344,Efficacy and Safety of Insulin Lispro Biphasic 25 Compared to Humalog® Mix 25 in Type 2 Diabetes Mellitus Patients,"Diabetes Mellitus, Type 2; Diabetes Mellitus",PHASE3,COMPLETED,2018-03-14,2019-01-15,2019-04-18,210.0,ACTUAL,,Geropharm,Russia
NCT04758364,Factors That Effect the Gait Speed in Diabetic Individuals Without Neuropathy,"Gait Disorder, Sensorimotor; Diabetes Mellitus, Type 2",,COMPLETED,2021-02-20,2021-03-12,2021-03-30,71.0,ACTUAL,,GULIN FINDIKOGLU,Turkey (Türkiye)
NCT02809963,Mineralocorticoid Receptor Antagonists in Type 2 Diabetes,Diabetes Type 2,PHASE4,COMPLETED,2015-11,2017-11,2017-11,140.0,ACTUAL,,Herlev Hospital,Denmark
NCT00532506,Phase II Dose-Finding Study of SK-0403 With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,PHASE2,COMPLETED,,,,,,,"Sanwa Kagaku Kenkyusho Co., Ltd.",Japan
NCT06290947,BFR Walking for Insulin and Aerobic Improvement in Type 2 Diabetes,Type 2 Diabetes Mellitus,NA,COMPLETED,2022-03-06,2023-12-20,2024-01-08,60.0,ACTUAL,,Arab American University (Palestine),Palestinian Territories
NCT06439758,Effects of First-Line Oral Hypoglycemics in Bone Markers of Treatment Naïve Saudi Adults With Type 2 Diabetes,Diabetes Type 2; Osteoporosis,PHASE4,UNKNOWN,2024-08-01,2025-08-01,2025-12-01,111.0,ESTIMATED,,King Saud University,
NCT04928248,"Design, Implementation and Evaluation of Scalable Decision Support for Diabetes Care","Diabetes Mellitus, Type 2; Diabetes Mellitus",NA,COMPLETED,2021-09-23,2022-09-22,2022-11-01,25915.0,ACTUAL,,University of Utah,United States
NCT00566215,Treatment of Type 2 Diabetes Mellitus by Duodenal Exclusion Associated With Omentectomy: Clinical and Hormonal Study,"Diabetes Mellitus, Type 2; Insulin Resistance; Obesity",PHASE1; PHASE2,TERMINATED,2007-07,2009-06,2009-06,6.0,ACTUAL,Benefit of duodenal exclusion alone less than expected for treatment of type 2 diabetes; an additional effect of combination with omentectomy not observed,"University of Campinas, Brazil",Brazil
NCT04426708,A Clinical Study to Access the Pharmacokinetics of HMS5552 in Hepatic Impaired Subjects and Healthy Volunteers,Type 2 Diabetes Mellitus,PHASE1,COMPLETED,2019-02-18,2020-07-03,2020-07-03,25.0,ACTUAL,,Hua Medicine Limited,China
NCT01094899,Abnormal Structure and Bone Density in Diabetes,Type 1 Diabetes; Type 2 Diabetes,NA,COMPLETED,2010-03-10,2014-07,2014-07-10,79.0,ACTUAL,,"Institut National de la Santé Et de la Recherche Médicale, France",France
NCT04524832,"Research Study Comparing New Tablets of Semaglutide in New Doses, in Healthy People","Diabetes Mellitus, Type 2",PHASE1,COMPLETED,2020-09-29,2022-02-25,2022-02-25,290.0,ACTUAL,,Novo Nordisk A/S,Germany
NCT00707993,Efficacy and Safety of Alogliptin Compared to Glipizide in Elderly Diabetics,Diabetes Mellitus,PHASE3,COMPLETED,2008-06,2010-08,2010-08,441.0,ACTUAL,,Takeda,Hungary; India; Israel; Mexico; Peru; Poland; Romania; Russia; South Africa; Ukraine; United States
NCT05180721,A Multi-level Intervention to Increase Access and Use of the Patient Portal,"Patient Education; Diabetes Mellitus, Type 2",NA,COMPLETED,2022-10-03,2024-07-02,2024-07-02,26.0,ACTUAL,,Yale University,United States
NCT03887416,Effect of Dapagliflozin on Nighttime Blood Pressure in Type 2 Diabetes,Type2 Diabetes,PHASE4,UNKNOWN,2019-04-12,2020-02,2020-02,225.0,ESTIMATED,,LM Diagnósticos S.L.,Spain
NCT01209416,The Effect of Pharmacological Antilipolysis on the Metabolic Effects of Ghrelin,Metabolism; Insulin Resistance; Hypopituitarism,NA,COMPLETED,2012-06,2014-10,2015-10,8.0,ESTIMATED,,University of Aarhus,Denmark
NCT03092752,Clinical Characteristics and Practice Patterns of Type 2 Diabetes Mellitus Patients Treated With OADs in Japan: Analysis of Medical and Health Care Database of the MDV,"Diabetes Mellitus, Type 2",,COMPLETED,2017-03-01,2017-03-01,2017-03-01,162116.0,ACTUAL,,Boehringer Ingelheim,Japan
NCT02535078,Phase 1b/2 Study of the Combination of IMCgp100 With Durvalumab and/or Tremelimumab in Advanced Cutaneous Melanoma,Malignant Melanoma,PHASE1; PHASE2,WITHDRAWN,2015-11,2023-06-19,2023-09-06,0.0,ACTUAL,,Immunocore Ltd,United States
NCT04532385,Effect of Green Tea Extract on Lipids in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2; Dyslipidemias; Arterial Stiffness",NA,COMPLETED,2018-06-12,2019-01-14,2019-01-14,20.0,ACTUAL,,"Centro Universitario de Ciencias de la Salud, Mexico",Mexico
NCT00254085,Substitution of First Phase Insulin Response in Patient With Type 2 Diabetes.,Type 2 Diabetes,PHASE4,UNKNOWN,2005-03,,2006-03,20.0,,,"University Hospital, Gentofte, Copenhagen",Denmark
NCT05596747,A Study of LY3209590 in Chinese Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",PHASE1,COMPLETED,2022-11-30,2023-10-10,2023-10-10,31.0,ACTUAL,,Eli Lilly and Company,China
NCT02989649,Non-Interventional Study of the Use of Alogliptin and Alogliptin Fixed-Dose Combinations With Pioglitazone and With Metformin in Standard Clinical Practice,"Diabetes Mellitus, Type 2",,TERMINATED,2016-12-22,2018-01-26,2018-01-26,593.0,ACTUAL,Business Decision; No Safety Or Efficacy Concerns,Takeda,China; Hong Kong
NCT01220349,Alteration of Myocardial Deformations in Diabetes: Relationship to Micro-angiopathy,"Diabetes Mellitus, Type 1",NA,COMPLETED,2011-01,2012-10,2012-10,61.0,ACTUAL,,"University Hospital, Bordeaux",France
NCT02556840,Impact on Birth Weight of Two Therapeutic Strategies (Insulin Therapy From the Beginning of Pregnancy vs. Insulin Therapy Initiated According to Fetal Growth Evaluated by Ultrasonography Measurements) in Pregnant Women With Monogenic Diabetes,Maturity-Onset Diabetes of the Young,NA,COMPLETED,2016-04-25,2020-08-01,2020-12-09,46.0,ACTUAL,,Assistance Publique - Hôpitaux de Paris,France
NCT00437489,A Clinical Trial Comparing The Efficacy And Safety Of 2 Different Initial Dose Prescriptions For Exubera.,"Diabetes Mellitus, Type 2",PHASE4,TERMINATED,2007-06,2007-12,2007-12,49.0,ACTUAL,"This protocol was terminated not for safety reasons, but because Pfizer decided to return the worldwide rights for Exubera to Nektar, on 18 October 2007.",Pfizer,Hong Kong; Pakistan; Philippines; Singapore
NCT05256615,Exercise Timing and Gestational Diabetes,Pregnancy Related; Diabetes; Diabete Mellitus; Type 2 Diabetes; Pre-diabetes; Exercise,NA,COMPLETED,2020-01-01,2024-06-07,2024-06-07,41.0,ACTUAL,,University of Alberta,Canada
NCT00633425,Continuous Glucose Monitoring System (CGMS) in Type 2 Diabetic Patients Inadequately Controlled by Metformine Monotherapy; Analyze of Glycemic Profile Before and After Association of Glimepiride,Diabetes Mellitus,PHASE4,COMPLETED,2002-10,,2003-10,43.0,ACTUAL,,Sanofi,France
NCT07084350,Combination of Lactulose and Polyethylene Glycol Electrolytes Powder (PEG-ELS) for Bowel Preparation in Type II Diabetes Mellitus Patients,Type II Diabetes Mellitus,NA,COMPLETED,2025-09-04,2026-05-18,2026-05-18,300.0,ACTUAL,,General Hospital of Shenyang Military Region,China
NCT01277913,"The Effect of Supplementation With Two Different Doses of Vitamin D on Bone Mineral Density, Vitamin D Levels and Hand Grip Strength in Children With Diabetes Mellitus Type 1",Diabetes Mellitus Type 1,PHASE4,COMPLETED,2011-01,2013-11,2013-11,60.0,ACTUAL,,Medical University of Warsaw,Poland
NCT02152852,Peer Support for Achieving Independence in Diabetes,Type 2 Diabetes,NA,COMPLETED,2011-11,2015-04,2016-12,287.0,ACTUAL,,Public Health - Seattle and King County,
NCT02059538,Metagenomics and Integrative Systems Medicine of Cardiometabolic Diseases,Cardiometabolic Disease,NA,UNKNOWN,2013-06,2015-06,2016-06,2350.0,ESTIMATED,,Assistance Publique - Hôpitaux de Paris,Denmark; France; Germany
NCT02294526,A Sardine Diet Intervention Study to Assess Benefits to the Metabolic Profile in Type 2 Diabetes Mellitus Patients,Type 2 Diabetes,NA,COMPLETED,2012-11,2013-11,2013-11,35.0,ACTUAL,,Spanish Biomedical Research Centre in Diabetes and Associated Metabolic Disorders,
NCT03736785,A Study of LY3209590 in Participants With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,PHASE2,COMPLETED,2018-11-15,2020-02-18,2020-02-18,399.0,ACTUAL,,Eli Lilly and Company,Mexico; Puerto Rico; United States
NCT06385015,T-UP: Engaging Vulnerable Students in Diabetes Prevention,"Diabetes Mellitus, Type 2; PreDiabetes",NA,COMPLETED,2023-10-04,2024-08-31,2025-07-10,80.0,ACTUAL,,"University of California, Los Angeles",United States
NCT00824668,Comparison of Pharmacodynamics and Pharmacokinetics of Biphasic Insulin Aspart 30 and Insulin Glargine and Insulin Glulisine Therapy in Subjects With Type 2 Diabetes,"Diabetes; Diabetes Mellitus, Type 2",PHASE1,COMPLETED,2007-08,2007-10,2007-10,24.0,ACTUAL,,Novo Nordisk A/S,Germany
NCT04899791,Positive Effects of Daily Consumption of Bread Enriched With Hydroxytyrosol on the Results of a 12-week Dietary Intervention on Subjects With Type 2 Diabetes Mellitus and Overweight/ Obesity,Type 2 Diabetes Mellitus; Obesity,NA,COMPLETED,2021-05-24,2021-12-24,2022-01-14,60.0,ACTUAL,,Harokopio University,Greece
NCT02912455,CARAT: Canagliflozin vs. Placebo for Post Bariatric Patients With Persistent Type 2 Diabetes,"Diabetes Mellitus, Type 2; Obesity",PHASE4,TERMINATED,2017-01-05,2018-07-19,2018-07-19,16.0,ACTUAL,Study was terminated due to difficulty with reaching enrollment goals,The Cleveland Clinic,United States
NCT05767255,Risk of Hypoglycemia in the Transition From Inpatient to Outpatient Setting. Comparative Study of Basal-bolus Insulin Versus Basal Insulin Plus GLP-1 Analogue,"Diabetes Mellitus, Type 2 Treated With Insulin",PHASE3,UNKNOWN,2022-12-01,2023-08-30,2023-08-30,66.0,ESTIMATED,,Hospital Universitario San Ignacio,Colombia
NCT02305355,Efficacy and Safety of Prescription Omega-3 Fatty Acid Added to Stable Statin Therapy in Patients With Type 2 Diabetes and Hypertriglyceridemia,"Diabetes Mellitus, Type 2; Hypertriglycemia",PHASE4,COMPLETED,2009-02,2011-02,2011-02,68.0,ACTUAL,,"Kuhnil Pharmaceutical Co., Ltd.",South Korea
NCT00422955,Fluid Retention in Rosiglitazone Treated Subjects With Autonomic Neuropathy.,"Neuropathy, Diabetic",PHASE3,COMPLETED,2003-11,2005-10,2005-10,36.0,ACTUAL,,GlaxoSmithKline,Netherlands
NCT03058289,A Phase 1/2 Safety Study of Intratumorally Dosed INT230-6,Breast Cancer; Head and Neck Cancer; Squamous Cell Carcinoma; Lymphoma; Pancreatic Cancer; Liver Cancer; Colon Cancer; Lung Cancer; Bile Duct Cancer; Chordoma of Sacrum; Sarcoma,PHASE1; PHASE2,COMPLETED,2017-02-09,2023-02-22,2023-02-22,111.0,ACTUAL,,"Intensity Therapeutics, Inc.",Canada; United States
NCT07613489,Photobiomodulation for Diabetic Peripheral Neuropathy,Diabetic Peripheral Neuropathy; Diabetes Mellitus Type 2,NA,ACTIVE_NOT_RECRUITING,2026-02-01,2026-06-24,2026-06-24,36.0,ACTUAL,,University of Faisalabad,Pakistan
NCT02168491,Feasibility of Once/Daily Administered GLP/1 Receptoragonist (Lixisenatide) in Combination With Basal Insulin,Type 2 Diabetes Mellitus,PHASE3,COMPLETED,2014-11,2015-07,2015-08,10.0,ACTUAL,,Medical University of Vienna,Austria
NCT02920918,Treatment of Diabetes in Patients With Systolic Heart Failure,"Heart Failure, Systolic; Diabetes Mellitus, Type 2",PHASE4,COMPLETED,2016-10,2018-09,2018-09,36.0,ACTUAL,,Virginia Commonwealth University,United States
NCT02526810,Comparison of Glycaemic Fluctuation and Oxidative Stress Between Two Short-term Therapies for Type 2 Diabetes,"Diabetes Mellitus, Type 2",PHASE4,UNKNOWN,2015-07,2016-08,2016-09,70.0,ESTIMATED,,"Third Affiliated Hospital, Sun Yat-Sen University",China
NCT01906099,Effects of Legume Intake on Cardiovascular Risk Factors Among Adults at Risk for Diabetes,"Diabetes Mellitus, Type 2",NA,COMPLETED,2012-09,2013-01,2013-03,26.0,ACTUAL,,Isfahan University of Medical Sciences,Iran
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",PHASE3,COMPLETED,2010-02,2011-11,2012-05,978.0,ACTUAL,,Eli Lilly and Company,Argentina; Mexico; Puerto Rico; United States
NCT05088616,Native American Diabetes Project,"Diabetes; Diabete Type 2; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Diabetes Type 1; Diabetes Mellitus",NA,TERMINATED,2021-10-28,2023-10-31,2023-10-31,53.0,ACTUAL,The study was stopped primarily due to challenges recruiting and retaining participants. The investigators repeatedly tried to address this issue but still faced major challenges. Follow-up research was done to explore this challenge further.,University of Southern California,United States
NCT06743048,"A Tissue Sparing, Laser Assisted Penile Prosthesis Implantation Technique",Erectile Dysfunction; Erectile Dysfunction Associated With Type 2 Diabetes Mellitus; Erectile Dysfunction Due to Arterial Disease; Erectile Dysfunction Due to Arterial Insufficiency; Erectile Dysfunction Due to Venous Disorder; Erectile Dysfunction Due to Neuropathy; Erectile Dysfunction Following Radical Prostatectomy,NA,COMPLETED,2022-07-01,2024-11-01,2024-11-30,7.0,ACTUAL,,Cairo University,Egypt
NCT05754008,Care Navigator Support for Younger Latinx Adults With Type 2 Diabetes,"Diabetes Mellitus, Type 2",NA,UNKNOWN,2023-03-31,2025-04-01,2025-12,204.0,ESTIMATED,,Kaiser Permanente,United States
NCT01964976,Alogliptin Tablets Special Drug Use Surveillance Type 2 Diabetes Mellitus: Combination Therapy With Biguanides,Surveillance,,COMPLETED,2011-07,2014-12,2014-12,1096.0,ACTUAL,,Takeda,Japan
NCT03842267,A Study to Evaluate the Efficacy and Safety of Gemigliptin in Type 2 Diabetes Who Have Inadequate GlycemIc Control With Dapagliflozin and Metformin (SOLUTION Study),"Diabetes Mellitus, Type 2",PHASE3,COMPLETED,2019-05-13,2021-05-20,2022-11-30,315.0,ACTUAL,,LG Chem,South Korea
NCT05298111,"Acute Effect of MMT Peel Powder on Glycemic Response, Satiety, and Food Intake in Adults at Risk for Type 2 Diabetes",At Risk of Type 2 Diabetes Mellitus,NA,COMPLETED,2021-10-01,2021-11-03,2021-11-03,36.0,ACTUAL,,Universiti Sultan Zainal Abidin,Malaysia
NCT03014011,Effects of Mild Hypoglycaemia on Cognitive Function in Type 2 Diabetes,"Diabetes Mellitus, Type II; Hypoglycemia; Cognitive Change",NA,COMPLETED,2017-06-13,2018-07-23,2018-07-24,28.0,ACTUAL,,Bispebjerg Hospital,Denmark
NCT05279911,Effect of Low-level Laser Therapy on Type II Controlled Diabetic Patients After Dental Implant Insertion,T2DM (Type 2 Diabetes Mellitus); Low-level Laser Therapy; Bone Density Increased,NA,COMPLETED,2021-03-03,2022-01-05,2022-01-22,40.0,ACTUAL,,Sinai University,Egypt
NCT00328536,Omacor for the Treatment of Vascular Dysfunction in Patients With Type 2 Diabetes Mellitus,Atherosclerosis; Type 2 Diabetes Mellitus,PHASE4,COMPLETED,2007-04,2008-11,2008-11,34.0,ESTIMATED,,Ruhr University of Bochum,Germany
NCT00529165,The Necessity of an Injection-Meal-Interval in Patients With Type 2 Diabetes Mellitus and Therapy With Human Insulin,Diabetes Mellitus Type 2,NA,COMPLETED,2007-07,2008-07,2009-01,100.0,ESTIMATED,,University of Jena,Germany
NCT07078565,"Tai Chi vs. Modified-Otago Exercises for Pain, Balance, and Motor Function in Diabetic Peripheral Neuropathy",Diabetic Peripheral Neuropathy (DPN); Type 2 Diabetes Mellitus (T2DM),NA,RECRUITING,2025-01-25,2025-11-30,2025-12-30,36.0,ESTIMATED,,Riphah International University,Pakistan
NCT03484689,MBCT for DM Distress: a Pilot Qusai-experimental Study,"Diabetes Mellitus, Type 2",NA,COMPLETED,2018-07-14,2018-11-30,2018-11-30,20.0,ACTUAL,,Chinese University of Hong Kong,Hong Kong
NCT00572650,Pharmacokinetic Study of LAF237 and Its Metabolites in Mild Renal Impaired Patients,Type 2 Diabetes Mellitus,PHASE1,COMPLETED,2007-10,2007-11,2007-11,29.0,ACTUAL,,Novartis,Germany
NCT03242018,"A Study to Evaluate Safety and Effects of Sotagliflozin 400 and 200 mg on Glucose Control in Participants With Type 2 Diabetes, Severe Impairment of Kidney Function and Inadequate Blood Sugar Control",Type 2 Diabetes Mellitus; Chronic Kidney Disease Stage 4,PHASE3,COMPLETED,2017-08-16,2019-05-16,2019-12-11,277.0,ACTUAL,,Lexicon Pharmaceuticals,Argentina; Brazil; Colombia; Germany; Hungary; Israel; Italy; Mexico; Poland; Romania; Russia; South Africa; Spain; Ukraine; United States
NCT02919397,Motivational Instant Messaging and E-diabetes Prevention Programme for High Risk of Type 2 Diabetes,Pre-diabetes,NA,COMPLETED,2016-10-01,2018-05-25,2018-07-12,200.0,ACTUAL,,King's College London,
NCT04335513,Trial of Early Initiation of CGM-Guided Insulin Therapy in Stage 2 T1D,Type 1 Diabetes; Prediabetic State; Dysglycemia; Autoimmune Diabetes,NA,UNKNOWN,2020-04-30,2023-07-31,2023-07-31,84.0,ESTIMATED,,"University of Colorado, Denver",United States
NCT02581488,Use of Santyl in Diabetic Foot Ulcers,"Diabetic Foot; Foot Ulcer, Diabetic",PHASE4,COMPLETED,2015-10,2017-01-12,2017-01-12,102.0,ACTUAL,,"Smith & Nephew, Inc.",Canada; United States
NCT01833403,Metabolomic Analysis of Hepatic Insulin Resistance,Type 2 Diabetes; Obesity,NA,COMPLETED,2013-04,2014-03,2014-03,4.0,ACTUAL,,University of Minnesota,United States
NCT00427154,Effect of Inhaled Pre-prandial Human Insulin on Blood Glucose Control in Type 2 Diabetes,"Diabetes; Diabetes Mellitus, Type 2",PHASE3,TERMINATED,2007-01-10,2008-03-11,2008-03-11,227.0,ACTUAL,See termination reason in detailed description,Novo Nordisk A/S,United States
NCT00094796,Rosiglitazone to Reverse Metabolic Defects in Diabetes,"Diabetes Mellitus, Type II; Insulin Resistance",PHASE2,COMPLETED,2004-10-20,,2008-09-03,70.0,,,"National Heart, Lung, and Blood Institute (NHLBI)",United States
NCT04938869,Continuous Glucose Monitor Application After Hospital Discharge for the Improvement of Outcomes in Patients With Poorly Controlled Type 2 Diabetes and Active Cancer,Hematopoietic and Lymphoid System Neoplasm; Malignant Solid Neoplasm; Type 2 Diabetes Mellitus,NA,COMPLETED,2021-10-05,2022-02-17,2022-02-17,3.0,ACTUAL,,Ohio State University Comprehensive Cancer Center,United States
NCT00863954,Application of Magnetic Fields as Adjunctive Treatment for Type II Diabetes,Type II Diabetes Mellitus,PHASE1,COMPLETED,2009-01,2009-11,2009-11,60.0,ESTIMATED,,"pico-tesla Magnetic Therapies, LLC",United States
NCT03722199,"Effects of Flavanoids in Essential Hypertension, Type 2 Diabetes and Healthy Persons","Vascular Complications, Diabetic",NA,COMPLETED,2018-09-01,2021-03-20,2021-03-20,43.0,ACTUAL,,University Ghent,Belgium
NCT02592421,SGLT2 Inhibition and Stimulation of Endogenous Glucose Production: Protocol 2,Type II Diabetes Mellitus,PHASE3,COMPLETED,2015-10-23,2018-10-01,2019-10-31,30.0,ACTUAL,,The University of Texas Health Science Center at San Antonio,United States
NCT01153516,Diabetes and Gastric By- Pass,Type 2 Diabetes,,COMPLETED,2010-06,2012-12,2012-12,22.0,ACTUAL,,University of Texas Southwestern Medical Center,United States
NCT06059833,Serum Magnesium Level in Type 2 Diabetes Mellitus,Diabetes Mellitus,,UNKNOWN,2023-09,2024-09,2024-09,120.0,ESTIMATED,,Sohag University,Egypt
NCT04807348,Chiglitazar Added to Metformin for Type 2 Diabetes,Type 2 Diabetes,PHASE3,COMPLETED,2021-07-06,2023-02-10,2023-02-10,533.0,ACTUAL,,"Chipscreen Biosciences, Ltd.",China
NCT00717158,Lifestyle Intervention's Impact on Health Care Costs,"Diabetes Mellitus, Type 2; Obesity",NA,COMPLETED,2001-05,2003-02,2003-02,147.0,ACTUAL,,University of Virginia,United States
NCT00754143,Phase 1 Study of FG-3019 in Subjects With Type 1 or Type 2 Diabetes Mellitus and Diabetic Nephropathy,Diabetes Mellitus; Diabetic Nephropathy,PHASE1,COMPLETED,2008-03,2009-12,2009-12,38.0,ACTUAL,,Kyntra Bio,United States
NCT02505321,for Adipose Tissue DIabetes VAriants (fATDIVA),Diabetes Mellitus,NA,COMPLETED,2015-05-29,2017-10-31,2017-10-31,304.0,ACTUAL,,Royal Devon and Exeter NHS Foundation Trust,United Kingdom
NCT00949221,Study of Insulin Therapy Augmented by Real Time Sensor IN Type 1 Children and Adolescents (START-IN!),Type 1 Diabetes,PHASE2; PHASE3,COMPLETED,2009-09,2012-07,2012-07,150.0,ACTUAL,,Assistance Publique - Hôpitaux de Paris,France
